```json
{
    "matchup": "France vs Iceland",
    "final_score": "France: 182, Iceland: 173",
    "final_stats": {
        "France": {
            "stats": {
                "points": 182,
                "assists": 40,
                "rebounds": 30,
                "defensive_rebounds": 22,
                "offensive_rebounds": 8,
                "fouls": 15,
                "steals": 12,
                "blocks": 14,
                "turnovers": 10,
                "2pt_shots_made": 37,
                "2pt_shots_attempted": 50,
                "3pt_shots_made": 25,
                "3pt_shots_attempted": 42,
                "ft_made": 23,
                "ft_attempted": 34
            },
            "players": {
                "Mouhammadou Jaiteh": {
                    "points": 9,
                    "assists": 8,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 1,
                    "ft_made": 5,
                    "ft_attempted": 8
                },
                "Zaccharie Risacher": {
                    "points": 21,
                    "assists": 6,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 2,
                    "blocks": 4,
                    "turnovers": 2,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 8,
                    "ft_made": 1,
                    "ft_attempted": 2
                },
                "Timothe Luwawu-Cabarrot": {
                    "points": 9,
                    "assists": 5,
                    "rebounds": 1,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 1,
                    "fouls": 3,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 4,
                    "ft_made": 2,
                    "ft_attempted": 5
                },
                "Guerschon Yabusele": {
                    "points": 28,
                    "assists": 8,
                    "rebounds": 8,
                    "defensive_rebounds": 8,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 4,
                    "turnovers": 3,
                    "2pt_shots_made": 8,
                    "2pt_shots_attempted": 10,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 7,
                    "ft_made": 4,
                    "ft_attempted": 6
                },
                "Jaylen Hoard": {
                    "points": 11,
                    "assists": 2,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 0,
