```json
{
    "matchup": "Poland vs Slovenia",
    "final_score": "Poland: 203, Slovenia: 177",
    "final_stats": {
        "Poland": {
            "stats": {
                "points": 203,
                "assists": 28,
                "rebounds": 40,
                "defensive_rebounds": 28,
                "offensive_rebounds": 12,
                "fouls": 11,
                "steals": 12,
                "blocks": 11,
                "turnovers": 6,
                "2pt_shots_made": 40,
                "2pt_shots_attempted": 53,
                "3pt_shots_made": 33,
                "3pt_shots_attempted": 49,
                "ft_made": 8,
                "ft_attempted": 13
            },
            "players": {
                "Aleksander Balcerowski": {
                    "points": 20,
                    "assists": 2,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 3,
                    "steals": 2,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 6,
                    "ft_made": 0,
                    "ft_attempted": 2
                },
                "Aleksander Dziewa": {
                    "points": 18,
                    "assists": 4,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 3,
                    "turnovers": 3,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 5,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Mateusz Ponitka": {
                    "points": 26,
                    "assists": 6,
                    "rebounds": 9,
                    "defensive_rebounds": 6,
                    "offensive_rebounds": 3,
                    "fouls": 3,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 6,
                    "3pt_shots_attempted": 10,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Kamil Laczynski": {
                    "points": 9,
                    "assists": 6,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 3,
                    "blocks": 3,
                    "turnovers": 1,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Michal Michalak": {
                    "points": 38,
                    "assists": 2,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 5,
                    "steals": 0,
                    "blocks": 3,
                    "turnovers": 2,
                    "2pt_shots_made": 8,
                    "2pt_shots_attempted": 9,
                    "3pt_shots_made": 6,
                    "3pt_shots_attempted": 11,
                    "ft_made": 4,
                    "ft_attempted": 6
                },
                "Andrzej Pluta": {
                    "points": 35,
                    "assists": 6,
                    "rebounds": 8,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 4,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 7,
                    "2pt_shots_attempted": 11,
                    "3pt_shots_made": 6,
                    "3pt_shots_attempted": 10,
                    "ft_made": 2,
                    "ft_attempted": 3
                },
                "Michal Sokolowski": {
                    "points": 20,
                    "assists": 1,
                    "rebounds": 7,
                    "defensive_rebounds": 6,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 4,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 6,
                    "3pt_shots_attempted": 9,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Jordan Loyd": {
                    "points": 20,
                    "assists": 6,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 2,
                    "blocks": 3,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 5,
                    "3pt_shots_attempted": 5,
                    "ft_made": 1,
                    "ft_attempted": 2
                },
                "Dominik Olejniczak": {
                    "points": 2,
                    "assists": 2,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 1,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Przemyslaw Zolnierewicz": {
                    "points": 13,
                    "assists": 5,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 2,
                    "blocks": 2,
                    "turnovers": 0,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 6,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Szymon Zapala": {
                    "points": 8,
                    "assists": 2,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Tomasz Gielo": {
                    "points": 3,
                    "assists": 1,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 1,
                    "ft_attempted": 2
                }
            }
        },
        "Slovenia": {
            "stats": {
                "points": 177,
                "assists": 20,
                "rebounds": 37,
                "defensive_rebounds": 27,
                "offensive_rebounds": 10,
                "fouls": 9,
                "steals": 8,
                "blocks": 15,
                "turnovers": 10,
                "2pt_shots_made": 32,
                "2pt_shots_attempted": 53,
                "3pt_shots_made": 25,
                "3pt_shots_attempted": 47,
                "ft_made": 18,
                "ft_attempted": 30
            },
            "players": {
                "Martin Krampelj": {
                    "points": 9,
                    "assists": 5,
                    "rebounds": 4,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 1,
                    "fouls": 3,
                    "steals": 2,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 1,
                    "ft_made": 3,
                    "ft_attempted": 6
                },
                "Mark Padjen": {
                    "points": 27,
                    "assists": 3,
                    "rebounds": 4,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 4,
                    "turnovers": 0,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 7,
                    "3pt_shots_made": 5,
                    "3pt_shots_attempted": 8,
                    "ft_made": 3,
                    "ft_attempted": 3
                },
                "Robert Jurkovic": {
                    "points": 21,
                    "assists": 2,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 0,
                    "2pt_shots_made": 6,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 4,
                    "ft_made": 4,
                    "ft_attempted": 6
                },
                "Aleksej Nikolic": {
                    "points": 12,
                    "assists": 2,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 5,
                    "ft_made": 1,
                    "ft_attempted": 2
                },
                "Gregor Hrovat": {
                    "points": 6,
                    "assists": 4,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Klemen Prepelic": {
                    "points": 8,
                    "assists": 2,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 3,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 4,
                    "ft_made": 3,
                    "ft_attempted": 5
                },
                "Alen Omic": {
                    "points": 9,
                    "assists": 4,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 2,
                    "blocks": 4,
                    "turnovers": 2,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 6,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Rok Radovic": {
                    "points": 18,
                    "assists": 3,
                    "rebounds": 5,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 2,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 7,
                    "ft_made": 2,
                    "ft_attempted": 3
                },
                "Leon Stergar": {
                    "points": 28,
                    "assists": 3,
                    "rebounds": 4,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 4,
                    "turnovers": 2,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 7,
                    "3pt_shots_attempted": 8,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Edo Muric": {
                    "points": 12,
                    "assists": 2,
                    "rebounds": 5,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 4,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 6,
                    "ft_made": 0,
                    "ft_attempted": 3
                },
                "Luka Doncic": {
                    "points": 8,
                    "assists": 2,
                    "rebounds": 5,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 4,
                    "2pt_shots_made": 1,
