```json
{
    "matchup": "Israel vs Slovenia",
    "final_score": "Israel: 201, Slovenia: 196",
    "final_stats": {
        "Israel": {
            "stats": {
                "points": 201,
                "assists": 44,
                "rebounds": 27,
                "defensive_rebounds": 23,
                "offensive_rebounds": 4,
                "fouls": 11,
                "steals": 14,
                "blocks": 10,
                "turnovers": 22,
                "2pt_shots_made": 33,
                "2pt_shots_attempted": 47,
                "3pt_shots_made": 30,
                "3pt_shots_attempted": 42,
                "ft_made": 15,
                "ft_attempted": 30
            },
            "players": {
                "Roman Sorkin": {
                    "points": 20,
                    "assists": 2,
                    "rebounds": 4,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 2,
                    "turnovers": 4,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 7,
                    "ft_made": 2,
                    "ft_attempted": 3
                },
                "Nimrod Levi": {
                    "points": 10,
                    "assists": 5,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 2,
                    "ft_attempted": 3
                },
                "Deni Avdija": {
                    "points": 15,
                    "assists": 9,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 4,
                    "blocks": 2,
                    "turnovers": 3,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 4,
                    "ft_made": 7,
                    "ft_attempted": 11
                },
                "Bar Timor": {
                    "points": 14,
                    "assists": 7,
                    "rebounds": 4,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 1,
                    "fouls": 3,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 3,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 4,
                    "ft_made": 0,
                    "ft_attempted": 3
                },
                "Tomer Ginat": {
                    "points": 24,
                    "assists": 9,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 6,
                    "blocks": 2,
                    "turnovers": 4,
                    "2pt_shots_made": 6,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 7,
                    "ft_made": 0,
                    "ft_attempted": 6
                },
                "Yovel Zoosman": {
                    "points": 16,
                    "assists": 5,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 2,
                    "ft_made": 4,
                    "ft_attempted": 6
                },
                "Ethan Burg": {
                    "points": 24,
                    "assists": 9,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 2,
                    "blocks": 1,
                    "turnovers": 4,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 6,
                    "3pt_shots_attempted": 6,
                    "ft_made": 4,
                    "ft_attempted": 6
                },
                "Rafi Menco": {
                    "points": 5,
                    "assists": 4,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 3,
                    "ft_made": 0,
                    "ft_attempted": 0
